uuid	hierarchy_id	node_id
713f4a22-bc84-4bad-8997-fd74fb7c1d87	csa-book	2.5.4
ab5e0639-5a47-4295-9c9b-bbfd81df8820	csa-book	2.5.4
bbcad76a-02c1-4f52-84dd-cb8b155c0c23	csa-book	2.5.4
d5d4eaf9-1963-4fbb-a03b-a57f774b3e95	csa-book	2.5.4
e6fa01e5-99b3-430a-ba2c-7bb3ab759f41	csa-book	2.5.4
aa85cfb3-ac83-489f-b718-b04877e65452	csa-book	3.1.1
aaa9c0e2-43a2-4da0-828e-778d0cf3e9de	csa-book	3.1.1
ac4c2572-a5e4-4271-91e9-dd12b826412e	csa-book	3.1.1
bb406397-21d0-445a-bdf0-5a4abe93b455	csa-book	3.1.2
ccfc9a22-9975-4c98-9c7f-7e44ff749957	csa-book	3.1.2
d33c5576-142a-4dce-b9a8-be82b9547a50	csa-book	3.1.2
e386c282-320d-42cb-85c3-091a40e01b41	csa-book	3.1.3
93f26463-c8e2-4fa2-93ce-1f95d99bfbdf	csa-book	3.1.4
d053b062-2114-4d6a-be03-03bc617fbbd0	csa-book	3.1.4
40d8b99e-4324-461e-8a02-23bc81078bdf	csa-book	3.1.5
88793d3d-20b6-48e7-83f2-ec681e7eea8e	csa-book	3.1.5
5d29e344-b576-4d86-8bbc-2f3a344a90e2	csa-book	3.1.7
6157f04d-0a0c-425d-a9d4-2b448dd97385	csa-book	3.1.7
671763ce-5d45-4c2a-ab19-91a9a6270f2c	csa-book	3.1.7
96d357dc-8547-4816-8d02-d53b9a04d560	csa-book	3.1.7
a68e7001-03fa-4b58-b840-d300de8b7fcb	csa-book	3.1.7
bb4c26fe-281a-421f-aa73-fc76354a2114	csa-book	3.1.8
9bee76da-4c74-4157-8777-73c245ba2686	csa-book	3.2.1
b0ca0d44-218a-4c9d-a275-d46783db4742	csa-book	3.2.1
40480fc9-8d18-49e0-bd04-05d3b9ba07dc	csa-book	3.2.2
ac1c2697-9967-47da-8ffe-d91a72869221	csa-book	3.3.1
bd0ab275-edf3-4dfb-9ca2-97b259ee7a09	csa-book	3.3.1
002c974e-4182-4579-8c1c-2e06bbda0326	csa-book	3.3.2
15d579c5-5647-406a-a05c-676605dfbf0f	csa-book	3.3.2
56a05ea0-a1ec-4543-8135-63689a74baa8	csa-book	3.3.2
136709e5-61eb-4486-b720-ab806a36a94a	csa-book	4.1.1
8349e2f1-10d2-463e-88bd-0afc62bd049a	csa-book	4.1.1
8bb26936-c33c-496e-bdcb-8257470b7039	csa-book	4.1.1
d09c309c-0010-4eca-a981-8febe389caf1	csa-book	4.1.1
65966008-79e8-4594-9d42-66c1dd116c8f	csa-book	4.1.2
dbe4a24c-3c91-4158-acd6-4883fdf6b094	csa-book	4.1.2
05321feb-6f50-44c9-ada7-1e7b707851fe	csa-book	4.1.3
d7b17b6d-3e5f-4aa3-8623-31923f9eb3aa	csa-book	4.1.3
1e48386f-8fa6-4302-8881-f8ebcc281550	csa-book	4.1.4
29fbc52e-8180-4da0-a39a-a282ff9e540c	csa-book	4.1.4
7f8cd116-9db8-48c0-865c-ee91b9d8d52e	csa-book	4.1.4
f5ade4b8-e763-4300-abd1-3113fc3ceef6	csa-book	4.1.4
fefc1d21-bb1f-4c81-a65b-dc228b23246a	csa-book	4.1.4
0a44f60c-8c8a-4aa3-878b-ccf230633a10	csa-book	4.2.1
b26e0f26-82d5-4acc-aee4-b043c433afff	csa-book	4.2.1
49c81612-d043-47c9-85c0-d9a704c7e16b	csa-book	4.2.2
b523aa57-415e-412a-b19f-36239c372fdd	csa-book	4.2.2
1d9a8d8b-72df-47bc-9e6f-6c2afe7c9b56	csa-book	4.2.3
2eccd76f-1f2c-432f-8ed1-75d6336c79b2	csa-book	4.2.3
788e98d6-5f91-4258-901d-994256e588b4	csa-book	4.2.3
d7660866-2beb-492e-8b30-394dec57ad9a	csa-book	4.2.3
deae6886-54fd-42d6-8e83-a60a6ad85afa	csa-book	4.2.3
e0210d61-da38-47bc-85a8-709cd57366a7	csa-book	4.2.3
f092c747-a948-4d6b-9880-07f3a7665811	csa-book	4.2.3
3071efa1-5290-4474-a4ee-a815c376f5b3	csa-book	4.3.1
68106b9a-dfaf-4767-b01d-51a80595ed88	csa-book	4.3.1
45258d79-fb8e-4b71-a0ef-015b214921b5	csa-book	4.3.2
72e68860-5ea6-4e9d-b2ef-eaf5c6682da8	csa-book	4.3.2
45a40929-7d8f-4d12-bd99-203d2b75a8ff	csa-book	4.3.3
8c66bef8-43b1-4aea-a7f4-e747adb11e4b	csa-book	4.3.4
a2f029ef-80eb-4fa6-9e30-21583640270a	csa-book	4.3.5
fd15949f-da5a-4244-9951-16165ff2dfd9	csa-book	4.3.6
9a77ec7d-e6a9-42b8-bc21-2b7eb75de92b	csa-book	4.4.2
a9b7ab78-cc9a-44f4-8309-783b34e54873	csa-book	4.4.2
b0a1c72e-91f9-4e00-974c-36657036c3f5	csa-book	4.4.2
8d090e49-4519-4cf0-93b1-480cd225a91a	csa-book	4.4.3
a28480e9-d91b-4d0e-9e69-9239761dc798	csa-book	4.4.3
671fbdd9-443a-47d3-b790-87aa9a880043	csa-book	4.4.4
65b9d745-bc14-401b-9647-bb326f5a82e7	csa-book	4.5.1
c395f2a8-9cf6-4beb-82df-41f6be78ba41	csa-book	4.5.1
dc9b5a5b-7794-4204-85c8-1c7dac392fd1	csa-book	4.5.4
eafc7dc4-52ec-48fa-abaf-c6be04ba5e56	csa-book	4.5.4
14d0d4a5-2697-4e3d-be70-d7f1d4180998	csa-book	5.1.1
36eda965-cdee-4d02-a430-44512f65384a	csa-book	5.1.1
57193814-0079-4e24-8f39-f0cb679add44	csa-book	5.1.1
62f86dcb-ef96-447b-83db-f319a4a7114a	csa-book	5.1.1
7100e56c-fe0f-4e57-86cb-e0ee66072d92	csa-book	5.1.1
a36e9353-cf41-41e2-8156-86d728d0b8ce	csa-book	5.1.1
c6efc156-84c6-4419-adf9-34c4466312bc	csa-book	5.1.1
4382f55e-b47d-4e37-9d78-28ca0cd920aa	csa-book	5.1.2
9351853e-85ce-4887-b22c-4da478f83df7	csa-book	5.1.3
fbcddacd-3a38-4090-b035-cdac09ef9754	csa-book	5.1.3
fc0d7231-90a5-4083-ad02-4846e3521aa1	csa-book	5.1.3
2e829ca8-5ab8-46f1-a325-e89197cc051f	csa-book	5.1.4
57958167-13ae-4cb9-9e4f-c64f1f198adf	csa-book	5.2.1
6d12382a-7278-46c0-812b-edd288993b71	csa-book	5.2.1
ac4f8d0c-f1ad-4051-96b6-f474bcbf92b7	csa-book	5.2.1
d2aeca50-d573-490f-8650-c31d197dbcef	csa-book	5.2.1
3612691b-772e-4bf2-a0fd-85baff5fac09	csa-book	5.2.2
7a94bcf1-3d5c-4715-8a7c-748cf49a9af6	csa-book	5.2.2
16f25f04-9202-44cc-8b61-659e1cb4f597	csa-book	5.2.3
49b7febf-e361-4a7e-92cb-f49dbf36c4e3	csa-book	5.3.1
bef526f9-97d5-4374-9f95-8c80c237b9dd	csa-book	5.3.1
c0902251-4e08-4b1b-887f-43393659ae9d	csa-book	5.3.1
4f3404f2-f7ce-4332-816f-2c11010a92d6	csa-book	5.3.3
1adfdf73-109d-4f79-a26f-803035d8f16c	csa-book	5.3.4
4fa88e21-76ff-4d67-979c-c900c92ce09e	csa-book	5.5.1
3284ce94-f10c-410f-8888-f2c8e6b983ba	csa-book	5.5.2
9a820ae5-535b-4939-84c9-b3df2217533d	csa-book	5.5.2
adcdbf4a-89eb-4644-9ed0-624215b0109e	csa-book	6.1.1
d718aba6-c442-4a77-be40-4b78bdedb0fb	csa-book	6.1.1
44742501-76fd-4448-9160-91d8407a75a9	csa-book	6.1.2
76a2f195-8d64-4c3f-96e2-ac930e0a6170	csa-book	6.1.2
7f510ba7-cadd-49da-94a5-226eb33be419	csa-book	6.1.2
959a02e6-3b27-4ad6-9da2-098cc79e93af	csa-book	6.1.2
c6385690-0d73-4c8c-99a7-b90f35e96ffb	csa-book	6.1.2
d8dba558-f3ea-4a32-a0a6-c5835ec40c7c	csa-book	6.1.2
f5f769b1-c0a9-4064-bed9-676968202b2c	csa-book	6.1.2
f6cfcc43-c108-47e5-af2e-3c1e1f2c033c	csa-book	6.1.3
38aa08a4-8d95-468a-856f-51ee934fa8a3	csa-book	6.1.4
578541b7-0dde-438a-a05b-8ca7cd8f4dd1	csa-book	6.1.4
5d01e79a-4151-4866-a156-255091245013	csa-book	6.1.4
5ece0dde-b09c-40bb-aa07-b2ce8464506c	csa-book	6.1.4
9d199b14-28a1-4461-8bc5-b4ce67e1950c	csa-book	6.1.4
a30bed67-3875-4cdf-b1ef-0ea6d1084b9d	csa-book	6.1.4
aadeeb54-3cd1-4a6b-ab73-d5313c67ac50	csa-book	6.1.4
c2d7b9c8-20e4-4851-9c6b-ccfaa6aeec76	csa-book	6.1.4
d8ef5bfe-1aac-487e-b668-ce0cc675f531	csa-book	6.1.4
7ad90f11-173f-4aa2-8661-9a4cb6ce908b	csa-book	6.1.5
9aa75e5c-785a-43b3-8cba-e640d4c38b77	csa-book	6.1.5
899abfa9-cf78-4be1-989a-46f649d8d6cb	csa-book	6.2.1
c229a8b8-a878-4258-bfb9-a92f52ae30a5	csa-book	6.2.1
ca386b5b-7a47-4436-8a9a-bb5fed049c58	csa-book	6.2.1
cab796ae-54fa-4e72-a580-3094c3887fdc	csa-book	6.2.1
312e3eb2-764a-4c1c-8cb0-f88beb821198	csa-book	6.2.2
c37ea379-82f3-4187-b789-cb623c34a122	csa-book	6.2.2
e0a704d4-00ac-4146-935d-45418c052106	csa-book	6.2.2
ff94b73a-a101-4815-9f0c-fe262f7dff72	csa-book	6.2.2
ba96b284-8f3e-4570-8802-bc690a016bce	csa-book	6.2.3
acf6fcdf-fd97-48e4-9c26-59653ad95652	csa-book	6.3.3
eec94a13-b072-4718-a50b-2e037b87f85b	csa-book	6.3.3
c6ba53e5-860d-495e-a1a0-d73ffa817156	csa-book	6.3.4
d42c327b-63eb-4f50-9496-f4f492aa745c	csa-book	6.3.4
23c9ce34-caa8-4d40-9085-e0aaf04613b6	csa-book	6.3.5
6bb0123a-2f8a-43c2-8953-cccd40237850	csa-book	6.3.5
719b1a34-eb83-4eb0-9a23-c7feb28168ed	csa-book	6.3.5
f087a331-ec11-4b7c-a4fa-c0041554a439	csa-book	6.3.5
d4cbd23c-652d-4acd-a7ae-387b31a0b7b9	csa-book	6.3.6
c93988dc-7ff5-44e5-a5df-6ae2cf834564	csa-book	6.3.7
418bc867-a4d4-4085-94a8-e1ee281c5787	csa-book	6.4.1
6fe212fa-62ff-43d3-aee9-d026b5e59a74	csa-book	6.4.1
2bb6d7e1-db2e-443e-9c0a-8717802f0a41	csa-book	6.4.2
4df0fbb2-e5a6-4831-a0f8-d3a7235a03a2	csa-book	6.4.2
6d700155-72d5-4e11-b550-a8b8a38bcc59	csa-book	6.4.2
7a20ade3-25d9-4bf2-a02a-e503969faa37	csa-book	6.4.2
ab95ea7e-75e2-46c5-8960-23ff0b0cbb03	csa-book	6.4.2
b263f73a-87c5-40a4-8023-bf437d9d96ec	csa-book	6.4.3
cbf19072-c507-4d41-b497-dad0d8a2120f	csa-book	6.4.3
5aab9557-1f0d-417e-82ec-8ac8df8545da	csa-book	6.4.4
a3e6b87f-9b9b-40c7-8200-ab92051c8cc9	csa-book	6.4.4
